import time: self [us] | cumulative | imported package
import time:       160 |        160 |                                               numpy.fft._helper
import time:       210 |        210 |                                                 numpy.fft._pocketfft_umath
import time:       371 |        581 |                                               numpy.fft._pocketfft
import time:        99 |         99 |                                               numpy.fft.helper
import time:       155 |        994 |                                             numpy.fft
import time:       318 |        318 |                                               numpy.ctypeslib._ctypeslib
import time:       111 |        429 |                                             numpy.ctypeslib
import time:       215 |        215 |                                                   unittest.util
import time:       322 |        536 |                                                 unittest.result
import time:       574 |        574 |                                                   difflib
import time:       261 |        261 |                                                   pprint
import time:       636 |       1470 |                                                 unittest.case
import time:       262 |        262 |                                                 unittest.suite
import time:       548 |        548 |                                                 unittest.loader
import time:       798 |        798 |                                                   argparse
import time:       105 |        105 |                                                     unittest.signals
import time:       219 |        323 |                                                   unittest.runner
import time:       215 |       1336 |                                                 unittest.main
import time:       184 |       4334 |                                               unittest
import time:       158 |        158 |                                               numpy.testing._private
import time:        90 |         90 |                                               numpy.testing.overrides
import time:       152 |        152 |                                               numpy.testing._private.extbuild
import time:        44 |         44 |                                                 gc
import time:      1009 |       1053 |                                               numpy.testing._private.utils
import time:       181 |       5965 |                                             numpy.testing
import time:       354 |        354 |                                                   numpy.random._common
import time:       156 |        156 |                                                     hmac
import time:       117 |        273 |                                                   secrets
import time:       372 |        998 |                                                 numpy.random.bit_generator
import time:       268 |       1265 |                                               numpy.random._bounded_integers
import time:       170 |        170 |                                                   numpy.random._pcg64
import time:       187 |        187 |                                                   numpy.random._mt19937
import time:       671 |       1027 |                                                 numpy.random._generator
import time:       175 |        175 |                                                 numpy.random._philox
import time:       163 |        163 |                                                 numpy.random._sfc64
